N	F0	PER	d0	v0	collision
7	-2	0.970000	5.594000	63	1
7	-5	0.020000	4.760000	65	0
4	-8	0.490000	8.626000	47	0
5	-3	0.950000	6.812000	75	1
5	-2	0.260000	8.895000	79	0
9	-4	0.370000	8.116000	89	1
10	-8	0.990000	8.224000	25	1
3	-3	0.610000	7.474000	75	1
3	-3	0.000e+000	8.065000	54	0
5	-4	0.210000	4.158000	85	0
5	-1	0.240000	7.382000	80	0
9	-2	0.260000	8.129000	75	1
6	-8	0.220000	8.779000	23	0
6	-4	0.390000	8.039000	80	0
9	-2	0.150000	5.831000	33	1
6	-4	0.260000	7.518000	82	0
